"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Login Flow","0","Authentication","0","0","Successful Login","0"
"1","Onboarding Flow","0","Authentication","0","0","Successful Onboarding","0"
