"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Onboarding Flow","1","Authentication","0","0","Successful Onboarding","0"
"0","Login Flow","0","Authentication","1","0","Successful Login","0"
