"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","67099","Dashboard → Add Farmer → Add Farm → Add Crop","tests.test_suites.end_to_end.regular_client","2026-09-23","failed","2026-09-23","TestOnboarding","test_onboarding_pytest","",""
"","69724","test_LOGINPOS_TC_030 -- Verify user can login with valid credentials","tests.test_cases.common_test_cases","2026-09-23","failed","2026-09-23","TestLogin","test_login_pytest","",""
